ACDOCA is a standard SAP Table which is used to store Universal Journal Entry Line Items data and is available within S/4 HANA SAP systems depending on the version and release level. Below is the technical details and the list of fields specifically relevant for an SAP S/4 HANA system

Even using an S/4 Hana system you can still view further information about the SAP ACDOCA table and the data within it using standard SAP GUI transactions such as SE11, SE80 or SE16. Or you can use the ADT (ABAP development tools within eclipse).

Delivery Class: A - Application table (master and transaction data)
Display/Maintenance via SM30: Display/Maintenance Allowed but with Restrictions
Enhancement category: Can be enhanced (character-type or numeric)
Dictionary Type: Transparent table
Database Table: ACDOCA


ACDOCA table structure field list
Below is the full ACDOCA field list that makes up the SAP database table structure, including key fields, description, data type and other technical details of each field


Field	Description	Data Element	Data Type	length (Dec)	Check table	Conversion Routine	Domain Name	MemoryID	SHLP	SHLP Field
GKONT	Offsetting Account Number	GKONT	CHAR	10(0)		ALPHA	GKONT		GKONT	GKONT
GKOAR	Offsetting Account Type	GKOAR	CHAR	1(0)			KOART			
ERLKZ	Completion indicator for line item	KBLERLKZ	CHAR	1(0)			CHAR1_X			
PERNR	Personnel Number	PERNR_D	NUMC	8(0)			PERNR	PER		
PAOBJNR	Profitability Segment Number (CO-PA)	RKEOBJNR	NUMC	10(0)			RKEOBJNR			
XPAOBJNR_CO_REL	Indicator: Profitability segm. relevant for CO compatibility	FINS_XPAOBJNR_CO_REL	CHAR	1(0)			XFELD			
SCOPE	Object Class	SCOPE_CV	CHAR	2(0)		SCOPE	SCOPE_CV	PCO		
LOGSYSO	Logical System of Object	LOGSYSO	CHAR	10(0)	TBDLS	ALPHA	LOGSYS			
PBUKRS	Company Code of Partner	PBUKRS	CHAR	4(0)	T001		BUKRS	BUK		
PSCOPE	Partner object class	PSCOPE_CV	CHAR	2(0)		SCOPE	SCOPE_CV			
LOGSYSP	Logical system of partner object	LOGSYSP	CHAR	10(0)	TBDLS	ALPHA	LOGSYS			
BWSTRAT	Strategy for Determining an Allocation Price	BWSTRAT	CHAR	1(0)			BWSTRAT			
OBJNR_HK	Object Number of Origin Object	OBJNR_HK	CHAR	22(0)	ONR00		J_OBJNR			
AUFNR_ORG	Origin Order Number	AUFNR_HK	CHAR	12(0)	AUFK	ALPHA	AUFNR			
UKOSTL	Origin cost center	USP_KOSTL	CHAR	10(0)	CSKS	ALPHA	KOSTL	KOS		
ULSTAR	Origin activity	USP_LSTAR	CHAR	6(0)	CSLA		LSTAR	LAR		
UPRZNR	Source: Business Process	USP_PRZNR	CHAR	12(0)	CBPR	ALPHA	CO_PRZNR			
UPRCTR	Origin Profit Center	FINS_ORIGIN_PRCTR	CHAR	10(0)	CEPC	ALPHA	PRCTR			
ACCAS	Account Assignment	ACCAS	CHAR	30(0)			ACCAS			
ACCASTY	Object Type	J_OBART	CHAR	2(0)	TBO00		J_OBART			
LSTAR	Activity Type	LSTAR	CHAR	6(0)	CSLA		LSTAR	LAR	LART_EMPTY	LSTAR
AUFNR	Order Number	AUFNR	CHAR	12(0)	AUFK	ALPHA	AUFNR	ANR		
AUTYP	Order category	AUFTYP	NUMC	2(0)			AUFTYP			
PS_PSP_PNR	Work Breakdown Structure Element (WBS Element)	PS_PSP_PNR	NUMC	8(0)	Assigned to domain	ABPSP	PS_POSNR			
PS_POSID	Work Breakdown Structure Element (WBS Element)	PS_POSID	CHAR	24(0)		ABPSN	PS_POSID	PRO		
PS_PRJ_PNR	Project (internal)	PS_INTNR	NUMC	8(0)	PROJ	KONPD	PS_PSPNR			
PS_PSPID	Project definition	PS_PSPID	CHAR	24(0)		ABPSN	PS_PSPID	PSP	PD_DUMMY	PSPID
NPLNR	Network Number for Account Assignment	NPLNR	CHAR	12(0)	AUFK	ALPHA	AUFNR	NET		
NPLNR_VORGN	Network activity	NPVRG	CHAR	4(0)		NUMCV	VORNR			
PRZNR	Business Process	CO_PRZNR	CHAR	12(0)	CBPR	ALPHA	CO_PRZNR	KWP		
KSTRG	Cost Object	KSTRG	CHAR	12(0)	CKPH		KSTRG	KTR		
BEMOT	Accounting Indicator	BEMOT	CHAR	2(0)	TBMOT		BEMOT			
RSRCE	Resource	CO_RESSOURCE	CHAR	10(0)	CSKR	ALPHA	CO_RESSOURCE	RCE		
QMNUM	Notification Number	QMNUM	CHAR	12(0)	QMEL	ALPHA	QMNUM	IQM		
SERVICE_DOC_TYPE	Service Document Type	FCO_SRVDOC_TYPE	CHAR	4(0)	CRMC_PROC_TYPE		CRM_PROCESS_TYPE	SVDT_FCO	FCO_SHLP_SRVDOC_TYPE_EMPTY	SERVICEDOCUMENTTYPE
SERVICE_DOC_ID	Service Document ID	FCO_SRVDOC_ID	CHAR	10(0)	FCO_SRVDOC	ALPHA	CRM_OBJECT_ID	SVD_FCO	FCO_SHLP_SRVDOC_EMPTY	SERVICEDOCUMENT
SERVICE_DOC_ITEM_ID	Service Document Item ID	FCO_SRVDOC_ITEM_ID	NUMC	6(0)	FCO_SRVDOC		FCO_SRVDOC_ITEM_ID	SVDI_FCO	FCO_SHLP_SRVDOC_ITEM_EMPTY	SERVICEDOCUMENTITEM
SERVICE_CONTRACT_TYPE	Service Contract Type	FCO_SRVCONTRACT_TYPE	CHAR	4(0)	CRMC_PROC_TYPE		CRM_PROCESS_TYPE			
SERVICE_CONTRACT_ID	Service Contract ID	FCO_SRVCONTRACT_ID	CHAR	10(0)	FCO_SRVDOC	ALPHA	CRM_OBJECT_ID			
SERVICE_CONTRACT_ITEM_ID	Service Contract Item ID	FCO_SRVCONTRACT_ITEM_ID	NUMC	6(0)	FCO_SRVDOC		FCO_SRVDOC_ITEM_ID			
ERKRS	Operating concern	ERKRS	CHAR	4(0)	TKEB		ERKRS	ERB		
PACCAS	Partner Account Assignment	PACCAS	CHAR	30(0)			ACCAS			
PACCASTY	Partner Object Type	CO_POBART	CHAR	2(0)	TBO00		J_OBART			
PLSTAR	Partner activity	PAR_LSTAR	CHAR	6(0)	CSLA		LSTAR	LAR		
PAUFNR	Partner order number	PAR_AUFNR	CHAR	12(0)	AUFK	ALPHA	AUFNR	ANR		
PAUTYP	Partner Order Category	FCO_PAR_AUFTYP	NUMC	2(0)			AUFTYP			
PPS_PSP_PNR	Partner Work Breakdown Structure Element (internal ID)	FCO_PAR_PSP_PNR	NUMC	8(0)	Assigned to domain	ABPSP	PS_POSNR			
PPS_POSID	Partner Work Breakdown Structure Element	FCO_PAR_POSID	CHAR	24(0)		ABPSN	PS_POSID	PRO	PR	POSID
PPS_PRJ_PNR	Partner Project (internal ID)	FCO_PAR_PRJ_PNR	NUMC	8(0)	PROJ	KONPD	PS_PSPNR			
PPS_PSPID	Partner Project	FCO_PAR_PSPID	CHAR	24(0)		ABPSN	PS_PSPID	PSP	PD_DUMMY	PSPID
PKDAUF	Number of Partner Sales Order	PAR_KDAUF	CHAR	10(0)	Assigned to domain	ALPHA	VBELN			
PKDPOS	Partner Sales Order Item	PAR_KDPOS	NUMC	6(0)	Assigned to domain		POSNR			
PPAOBJNR	Partner profitability segment number (CO-PA)	RKEPOBJ	NUMC	10(0)			RKEOBJNR			
PNPLNR	Partner Project Network	PAR_NPLN	CHAR	12(0)	AUFK	ALPHA	AUFNR			
PNPLNR_VORGN	Partner Project Network Activity	PAR_VORNR_AUF	CHAR	4(0)		NUMCV	VORNR			
PPRZNR	Partner Business Process	PAR_PRZNR	CHAR	12(0)	CBPR	ALPHA	CO_PRZNR			
PKSTRG	Partner Cost Object	PAR_KSTRG	CHAR	12(0)	CKPH		KSTRG			
PSERVICE_DOC_TYPE	Partner Service Document Type	FCO_PSRVDOC_TYPE	CHAR	4(0)	CRMC_PROC_TYPE		CRM_PROCESS_TYPE			
PSERVICE_DOC_ID	Partner Service Document ID	FCO_PSRVDOC_ID	CHAR	10(0)	FCO_SRVDOC	ALPHA	CRM_OBJECT_ID			
PSERVICE_DOC_ITEM_ID	Partner Service Document Item ID	FCO_PSRVDOC_ITEM_ID	NUMC	6(0)						
CO_ACCASTY_N1	Type of first statistical account assignment	FINS_ACCASTY_N1	CHAR	2(0)			FINS_ACCASTY_STAT			
CO_ACCASTY_N2	Type of second statistical account assignment	FINS_ACCASTY_N2	CHAR	2(0)			FINS_ACCASTY_STAT			
CO_ACCASTY_N3	Type of third statistical account assignment	FINS_ACCASTY_N3	CHAR	2(0)			FINS_ACCASTY_STAT			
CO_ZLENR	Document Item Number	DZLENR	NUMC	3(0)			NUM3			
CO_BELNR	Document Number	CO_BELNR	CHAR	10(0)	Assigned to domain	ALPHA	CO_BELNR	BLN		
CO_BUZEI	Posting Row	CO_BUZEI	NUMC	3(0)			BUZEI			
CO_BUZEI1	Posting row of CO item in first additional valuation	FCO_BUZEI1	NUMC	3(0)			BUZEI			
CO_BUZEI2	Posting row of CO item in second additional valuation	FCO_BUZEI2	NUMC	3(0)			BUZEI			
CO_BUZEI5	Posting row of CO item in valuation view 5	FCO_BUZEI5	NUMC	3(0)			BUZEI			
CO_BUZEI6	Posting row of CO item in valuation view 6	FCO_BUZEI6	NUMC	3(0)			BUZEI			
CO_BUZEI7	Posting row of CO item in valuation view 7	FCO_BUZEI7	NUMC	3(0)			BUZEI			
CO_REFBZ	Posting Row of Reference Document	CO_REFBZ	NUMC	3(0)			BUZEI			
CO_REFBZ1	Posting row of reference document in first add'l valuation	FCO_REFBZ1	NUMC	3(0)			BUZEI			
CO_REFBZ2	Posting row of reference document in second add'l valuation	FCO_REFBZ2	NUMC	3(0)			BUZEI			
CO_REFBZ5	Posting row of reference document in valuation view 5	FCO_REFBZ5	NUMC	3(0)			BUZEI			
CO_REFBZ6	Posting row of reference document in valuation view 6	FCO_REFBZ6	NUMC	3(0)			BUZEI			
CO_REFBZ7	Posting row of reference document in valuation view 7	FCO_REFBZ7	NUMC	3(0)			BUZEI			
OVERTIMECAT	Overtime Category	CATS_OVERTIME_CATEGORY	CHAR	4(0)	Assigned to domain		CATS_OVERTIME_CATEGORY			
WORK_ITEM_ID	Work Item ID	/CPD/PFP_WORKITEM_ID	CHAR	10(0)			/CPD/PFP_WORKITEM_ID	WRK	/CPD/SS_WORK_ITEM_C	WORKITEM
ARBID	Object ID of the resource	CR_OBJID	NUMC	8(0)	CRID		CR_OBJID			
VORNR	Operation/Activity Number	VORNR	CHAR	4(0)		NUMCV	VORNR	VGN		
AUFPS	Order item number	CO_POSNR	NUMC	4(0)			CO_POSNR			
UVORN	Suboperation	UVORN	CHAR	4(0)		NUMCV	VORNR			
EQUNR	Equipment Number	EQUNR	CHAR	18(0)	EQUI	ALPHA	EQUNR	EQN	EQUI	EQUNR
TPLNR	Functional Location	TPLNR	CHAR	30(0)	IFLOT	TPLNR	TPLNR	IFL	IFLM	TPLNR
ISTRU	Assembly	ISTRU	CHAR	40(0)	MARA	MATN1	MATNR			
ILART	Maintenance activity type	ILA	CHAR	3(0)	T353I		ILART		H_T350I	ILART
PLKNZ	Maintenance order planning indicator	AUF_PLKNZ	CHAR	1(0)			AUF_PLKNZ			
ARTPR	Priority Type	ARTPR	CHAR	2(0)	T356A		ARTPR			
PRIOK	Priority	PRIOK	CHAR	1(0)	T356		PRIOK	PRIOK		
MAUFNR	Number of Superior Order	MAUFNR	CHAR	12(0)	AUFK	ALPHA	AUFNR	UAF		
MATKL_MM	Material Group	FINS_MATKL_MM	CHAR	9(0)	T023		MATKL		S_WBWG	MATKL
PLANNED_PARTS_WORK	Planned Parts/Work	FINS_PLANNED_PARTS_WORK	CHAR	1(0)			BOOLE			
FKART	Billing Type	FKART	CHAR	4(0)	TVFK		FKART			
VKORG	Sales Organization	VKORG	CHAR	4(0)	TVKO		VKORG	VKO	C_VKORG	VKORG
VTWEG	Distribution Channel	VTWEG	CHAR	2(0)	TVTW		VTWEG	VTW	C_VTWEG	VTWEG
SPART	Division	SPART	CHAR	2(0)	TSPA		SPART	SPA	C_SPART	SPART
MATNR_COPA	Product Sold	FINS_MATNR_PA	CHAR	40(0)	MARA	MATN1	MATNR	MAT		
MATKL	Product Sold Group	FINS_MATKL_PA	CHAR	9(0)	T023		MATKL	MKL	S_WBWG	MATKL
KDGRP	Customer Group	KDGRP	CHAR	2(0)	T151		KDGRP	VKD		
LAND1	Country Key	LAND1_GP	CHAR	3(0)	T005		LAND1		C_LAND1	LAND1
BRSCH	Industry key	BRSCH	CHAR	4(0)	T016		BRSCH			
BZIRK	Sales District	BZIRK	CHAR	6(0)	T171		BZIRK	BZI		
KUNRE	Bill-to party	KUNRE	CHAR	10(0)	KNA1	ALPHA	KUNNR	KUN		
KUNWE	Ship-to party	KUNWE	CHAR	10(0)	KNA1	ALPHA	KUNNR			
KONZS	Group key	KONZS	CHAR	10(0)			KONZS			
.INCLU-_PA				0(0)						
ACDOC_COPA_EEW_DUMMY_PA	Dummy function in length 1	DUMMY	CHAR	1(0)			DUMMY			
.INCLU--AP				0(0)						
KMVKBU_PA	Sales office	VKBUR	CHAR	4(0)	TVBUR		VKBUR	VKB		
KMVKGR_PA	Sales group	VKGRP	CHAR	3(0)	TVKGR		VKGRP	VKG		
KMBRND_PA	Brand	RKESKMBRND	NUMC	2(0)	T2249		RKESKMBRND			
KMCATG_PA	Business field	RKESKMCATG	NUMC	2(0)	T2248		RKESKMCATG			
KMHI01_PA	Customer hierarchy Level 1	HIEZU01	CHAR	10(0)	KNA1	ALPHA	KUNNR			
KMHI02_PA	Customer hierarchy Level 2	HIEZU02	CHAR	10(0)	KNA1	ALPHA	KUNNR			
KMHI03_PA	Customer hierarchy Level 3	HIEZU03	CHAR	10(0)	KNA1	ALPHA	KUNNR			
KMKDGR_PA	Customer Group	KDGRP	CHAR	2(0)	T151		KDGRP	VKD		
KMLAND_PA	Country Key	LAND1_GP	CHAR	3(0)	T005		LAND1		C_LAND1	LAND1
KMMAKL_PA	Material Group	MATKL	CHAR	9(0)	T023		MATKL	MKL	S_WBWG	MATKL
KMNIEL_PA	Nielsen ID	NIELS	CHAR	2(0)	TNLS		NIELS			
KMSTGE_PA	Strategic Business Unit	RKESKMSTGE	NUMC	2(0)	T2247		RKESKMSTGE			
KMVTNR_PA	Sales employee	VRTNR	NUMC	8(0)			PERNR		PREMV	PERNR
VKBUR_PA	Sales office	VKBUR	CHAR	4(0)	TVBUR		VKBUR	VKB		
VKGRP_PA	Sales group	VKGRP	CHAR	3(0)	TVKGR		VKGRP	VKG		
WWT13_PA		RKEG_WWT13	CHAR	5(0)	T2500		RKEG_WWT13			
WWZ13_PA		RKEG_WWZ13	CHAR	5(0)	T2501		RKEG_WWZ13			
BONUS_PA	Volume rebate group	BONUS	CHAR	2(0)	TVBO		BONUS			
WW001_PA	User Characteristic	RKEG_WW001	CHAR	10(0)	T2502		RKEG_WW001			
WWCON_PA	Continent	RKEG_WWCON	CHAR	1(0)	T2503		RKEG_WWCON			
DUMMY_MRKT_SGMNT_EEW_PS	Custom Fields: Dummy for Use in Extension Includes	CFD_DUMMY	CHAR	1(0)						
RE_BUKRS	Cash Ledger: Company Code for Expense/Revenue	FAGL_RE_BUKRS	CHAR	4(0)	T001		BUKRS			
RE_ACCOUNT	Cash Ledger: Expense or Revenue Account	FAGL_RE_ACCOUNT	CHAR	10(0)	SKA1	ALPHA	SAKNR			
FIKRS	Financial Management Area	FIKRS	CHAR	4(0)	FM01		FIKRS	FIK		
FISTL	Funds Center	FISTL	CHAR	16(0)	FMFCTR		FISTL	FIS		
MEASURE	Funded Program	FM_MEASURE	CHAR	24(0)	FMMEASURE		FM_MEASURE	FM_MEASURE		
RFUND	Fund	BP_GEBER	CHAR	10(0)	FMFINCODE		BP_GEBER	FIC		
RGRANT_NBR	Grant	GM_GRANT_NBR	CHAR	20(0)		ALPHA	GM_GRANT_NBR	GM_GRANT_NBR	GRANTS_GENERIC	GRANT_NUMBER
RBUDGET_PD	Budget Period	FM_BUDGET_PERIOD	CHAR	10(0)	FMFUNDBPD		FM_BUDGET_PERIOD	BUDPER		
SFUND	Partner Fund	BP_P_GEBER	CHAR	10(0)	FMFINCODE		BP_GEBER	FIC		
SGRANT_NBR	Partner Grant	GM_GRANT_PARTNER	CHAR	20(0)		ALPHA	GM_GRANT_NBR		GRANTS_GENERIC	GRANT_NUMBER
SBUDGET_PD	FM: Partner Budget Period	FM_PBUDGET_PERIOD	CHAR	10(0)	FMFUNDBPD		FM_BUDGET_PERIOD	BUDPER		
BDGT_ACCOUNT	Budget Account	PSM_BDGT_ACCOUNT	CHAR	10(0)	SKA1	ALPHA	SAKNR			
BDGT_ACCOUNT_COCODE	Budget Account Company Code	PSM_BDGT_ACCOUNT_COCODE	CHAR	4(0)	T001		BUKRS			
BDGT_CNSMPN_DATE	Budget Consumption Date	PSM_BDGT_CNSMPN_DATE	DATS	8(0)			DATUM			
BDGT_CNSMPN_PERIOD	CC Fiscal Period for Budget Consumption Date	PSM_BDGT_CNSMPN_PERIOD	NUMC	3(0)			POPER	POPR		
BDGT_CNSMPN_YEAR	CC Fiscal Year for Budget Consumption Date	PSM_BDGT_CNSMPN_YEAR	NUMC	4(0)		GJAHR	GJAHR			
BDGT_RELEVANT	Budget-Relevant Indicator	PSM_BDGT_RELEVANT	CHAR	1(0)			XFELD			
BDGT_CNSMPN_TYPE	Budget Consumption Type	PSM_BDGT_CNSMPN_TYPE	CHAR	2(0)	PSM_D_BDGTCNSTY		PSM_BDGT_CNSMPN_TYPE			
BDGT_CNSMPN_AMOUNT_TYPE	Budget Consumption Amount Type	PSM_BDGT_CNSMPN_AMOUNT_TYPE	CHAR	4(0)			PSM_BDGT_CNSMPN_AMOUNT_TYPE			
VNAME	Joint venture	JV_NAME	CHAR	6(0)	T8JV	ALPHA	JV_NAME	JVV		
EGRUP	Equity group	JV_EGROUP	CHAR	3(0)	T8JF	ALPHA	JV_EGROUP	GJE		
RECID	Recovery Indicator	JV_RECIND	CHAR	2(0)	T8JJ	ALPHA	JV_RECIND			
VPTNR	Partner account number	JV_PART	CHAR	10(0)	KNA1	ALPHA	KUNNR			
BTYPE	Payroll Type	JV_BILIND	CHAR	2(0)	T8JA	ALPHA	JV_BILIND			
ETYPE	Equity type	JV_ETYPE	CHAR	3(0)	T8JE	ALPHA	JV_ETYPE			
PRODPER	Production Month (Date to find period and year)	JV_PRODPER	DATS	8(0)			JV_PRODPER			
BILLM	Billing Month	JV_BILLM	DATS	8(0)			DATUM			
POM	Processing operational month	JV_POM	DATS	8(0)			DATUM			
CBRUNID	Cutback Run ID (Joint Venture Accounting)	JV_CBRUNID	DEC	21(7)			TZNTSTMPL			
JVACTIVITY	JVA Activity (Joint Venture Accounting)	JV_ACTIVITY	CHAR	2(0)						
PVNAME	Partner Venture (Joint Venture Accounting)	JV_PVNAME	CHAR	6(0)	Assigned to domain	ALPHA	JV_NAME			
PEGRUP	Partner Equity Group (Joint Venture Accounting)	JV_PEGRUP	CHAR	3(0)	Assigned to domain	ALPHA	JV_EGROUP			
S_RECIND	Allocation: Sender Credit Recovery Indicator	JV_SRECIND	CHAR	2(0)	Assigned to domain	ALPHA	JV_RECIND			
CBRACCT	Cutback Account (Joint Venture Accounting)	JV_CBRACCT	CHAR	10(0)	Assigned to domain	ALPHA	SAKNR			
CBOBJNR	Cutback Cost Object (Joint Venture Accounting)	JV_CBOBJNR	CHAR	22(0)	Assigned to domain		J_OBJNR			
SWENR	Business Entity Number	REBDBENO	CHAR	8(0)		SWENR	REBDBENO	REBDBENO	REBDBENO	SWENR
SGENR	Number of Building	REBDBUNO	CHAR	8(0)		SGENR	REBDBUNO	REBDBUNO	REBDBUNO	SGENR
SGRNR	Number of Land	REBDPRNO	CHAR	8(0)		SGRNR	REBDPRNO	REBDPRNO	REBDPRNO	SGRNR
SMENR	Number of Rental Object	REBDRONO	CHAR	8(0)		SMENR	REBDRONO	REBDRONO	REBDRONO	SMENR
RECNNR	Contract Number	RECNNUMBER	CHAR	13(0)		ALPHA	RECNNUMBER	RECNNR	RECNCN	RECNNR
SNKSL	Service Charge Key	RESCSCKEY	CHAR	4(0)		ALPHA	RESCSCKEY	RESCSCKEY	RESCSCKEY	SNKSL
SEMPSL	Settlement Unit	RESCSUID	CHAR	5(0)		ALPHA	RESCSUID	RESCSUID	RESCSU	SEMPSL
DABRZ	Reference date for settlement	DABRBEZ	DATS	8(0)			DDAT			
PSWENR	Partner Business Entity Number	FINS_PAR_SWENR	CHAR	8(0)		SWENR	REBDBENO		REBDBENO	SWENR
PSGENR	Partner Building Number	FINS_PAR_SGENR	CHAR	8(0)		SGENR	REBDBUNO		REBDBUNO	SGENR
PSGRNR	Partner Land Number	FINS_PAR_SGRNR	CHAR	8(0)		SGRNR	REBDPRNO		REBDPRNO	SGRNR
PSMENR	Number of Partner Rental Unit	FINS_PAR_SMENR	CHAR	8(0)		SMENR	REBDRONO		REBDRONO	SMENR
PRECNNR	Partner Contract Number	FINS_PAR_RECNNR	CHAR	13(0)		ALPHA	RECNNUMBER		RECNCN	RECNNR
PSNKSL	Partner Service Charge Key	FINS_PAR_SNKSL	CHAR	4(0)		ALPHA	RESCSCKEY		RESCSCKEY	SNKSL
PSEMPSL	Partner Settlement Unit	FINS_PAR_SEMPSL	CHAR	5(0)		ALPHA	RESCSUID		RESCSU	SEMPSL
PDABRZ	Partner Reference Date for Settlement	FINS_PAR_DABRBEZ	DATS	8(0)			DDAT			
ACROBJTYPE	Type of the Accrual Object	ACR_OBJ_TYPE	CHAR	4(0)	TACR_OBJ_TYPE		ACR_OBJ_TYPE	ACR_OBJ_TYPE		
ACROBJ_ID	Identifier of the Accrual Object	ACR_OBJ_ID	CHAR	32(0)			ACR_OBJ_ID			
ACRSOBJ_ID	Identifier of the Accrual Subobject	ACR_SUBOBJ_ID	CHAR	32(0)			ACR_SUBOBJ_ID			
ACRITMTYPE	Type of the Item of the Accrual Subobject	ACR_ITEM_TYPE	CHAR	11(0)			ACR_ITEM_TYPE		ACR_ITEM_TYPE	ACR_ITEM_TYPE
ACRVALDAT	Accrual Value Date	ACR_VALUE_DATE	DATS	8(0)			DATUM			
VALOBJTYPE	Type of the Financial Valuation Object	VAL_OBJ_TYPE	CHAR	4(0)	FINSC_VAL_TYPE		VAL_OBJ_TYPE			
VALOBJ_ID	Identifier of the Financial Valuation Object	VAL_OBJ_ID	CHAR	32(0)			VAL_OBJ_ID			
VALSOBJ_ID	Identifier of the Financial Valuation Subobject	VAL_SUBOBJ_ID	CHAR	32(0)			VAL_SUBOBJ_ID			
NETDT	Net Due Date	NETDT	DATS	8(0)			DATUM			
RISK_CLASS	Risk Class	UKM_RISK_CLASS	CHAR	3(0)	UKM_RISK_CL		UKM_RISK_CLASS			
ACDOC_EEW_DUMMY	Custom Fields: Dummy for Use in Extension Includes	CFD_DUMMY	CHAR	1(0)						
DUMMY_INCL_EEW_COBL	Custom Fields: Dummy for Use in Extension Includes	CFD_DUMMY	CHAR	1(0)						
FUP_ACTION	Follow-up action for this Universal Journal Entry Line Item	FINS_ACDOC_FOLLOW_UP_ACTION	CHAR	1(0)			FINS_FOLLOW_UP_ACTION			
SDM_VERSION	SDM: Version field for ACDOCA	FINS_SDM_VERSION_ACDOCA	CHAR	2(0)			FINS_SDM_VERSION_ACDOCA			
MIG_SOURCE	Source of a migrated journal entry item	FINS_ACDOC_MIG_SOURCE	CHAR	1(0)			FINS_ACDOC_MIG_SOURCE			
MIG_DOCLN	Item ID of migrated G/L line item	FINS_MIG_DOCLN	CHAR	6(0)			DOCLN6			
_DATAAGING	Data Filter Value for Data Aging	DATA_TEMPERATURE	DATS	8(0)			DATA_TEMPERATURE	
